"county","3/7/20","3/14/20","3/21/20","3/28/20","4/4/20","4/11/20","4/18/20","4/25/20","5/2/20","5/9/20","5/16/20","5/23/20","5/30/20","6/6/20"
"Allegany",30,62,848,1196,1057,699,551,394,757,538,412,376,293,NA
"Anne Arundel",146,281,4517,8983,10573,5733,4441,3269,9840,5454,4042,3779,3270,NA
"Baltimore City",378,746,5392,8685,10691,6150,4894,3778,9447,6538,5675,5745,5345,NA
"Baltimore County",321,568,6763,13352,16791,9187,7189,5720,17412,10112,7574,7375,6782,NA
"Calvert",30,42,620,1200,1384,732,579,437,1328,712,499,457,445,NA
"Caroline",14,23,225,443,467,295,201,131,507,291,212,227,151,NA
"Carroll",31,75,1158,2685,2979,1423,1069,855,2384,1328,896,822,682,NA
"Cecil",29,41,665,987,1174,667,492,412,1139,815,520,479,407,NA
"Charles",50,116,938,1725,2549,1338,1161,998,2686,1541,1225,1112,991,NA
"Dorchester",29,22,249,407,480,294,209,182,477,271,273,294,162,NA
"Frederick",51,100,1729,3822,4555,2358,1834,1367,3598,2145,1672,1401,1171,NA
"Garrett",11,18,286,552,535,259,220,127,319,203,157,107,96,NA
"Harford",89,122,2038,4143,4752,2512,1878,1550,4061,2572,1707,1577,1346,NA
"Howard",62,121,1587,3654,5736,3005,2521,1855,5942,3199,2206,2140,1788,NA
"Kent",4,5,90,279,281,118,121,80,256,186,135,110,84,NA
"Montgomery",195,256,3941,9384,15751,9548,6938,5615,19192,10391,7853,7638,6409,NA
"Non-Maryland",208,449,2779,5323,6524,4785,3384,2549,6522,4843,4276,3877,3749,7307
"Prince George's",257,518,3792,8738,13339,7768,6216,5072,15488,9786,8140,8246,7176,NA
"Queen Anne's",7,11,455,773,956,473,341,263,918,487,333,231,245,NA
"Somerset",7,10,128,251,274,164,128,124,255,194,199,182,161,NA
"St. Mary's",24,48,547,1129,1282,789,604,494,1241,785,503,498,397,NA
"Talbot",6,15,456,590,560,309,231,172,623,348,206,222,169,NA
"Unknown",NA,NA,NA,61,97,50,43,27,13,4,5,7,6,32
"Washington",42,95,1238,2557,2394,1402,1017,738,1968,1286,1060,956,746,NA
"Wicomico",36,78,922,1896,1972,1048,816,636,1521,1063,750,675,658,NA
"Worcester",33,30,971,1415,1355,664,467,380,1368,713,578,430,366,NA
